pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
002,5,driver_function_oracle,query (ORACLE),0.5280898876404494,0.7528089887640449,89,5,5,0,17.8,nan,nan,0
002,10,driver_function_oracle,query (ORACLE),0.5595238095238095,0.7380952380952381,84,10,5,0,16.8,nan,nan,0
002,20,driver_function_oracle,query (ORACLE),0.5540540540540541,0.7297297297297297,74,20,5,0,14.8,nan,nan,0
002,30,driver_function_oracle,query (ORACLE),0.484375,0.796875,64,30,5,0,12.8,nan,nan,0
002,40,driver_function_oracle,query (ORACLE),0.46296296296296297,0.7962962962962963,54,40,5,0,10.8,nan,nan,0
002,50,driver_function_oracle,query (ORACLE),0.4772727272727273,0.7954545454545454,44,50,5,0,8.8,nan,nan,0
002,60,driver_function_oracle,query (ORACLE),0.4117647058823529,0.8235294117647058,34,60,5,0,6.8,nan,nan,0
003,5,driver_function_oracle,query (ORACLE),0.4017094017094017,0.6068376068376068,117,5,5,0,23.4,nan,nan,0
003,10,driver_function_oracle,query (ORACLE),0.41964285714285715,0.5892857142857143,112,10,5,0,22.4,nan,nan,0
003,20,driver_function_oracle,query (ORACLE),0.43137254901960786,0.6274509803921569,102,20,5,0,20.4,nan,nan,0
003,30,driver_function_oracle,query (ORACLE),0.40217391304347827,0.6304347826086957,92,30,5,0,18.4,nan,nan,0
003,40,driver_function_oracle,query (ORACLE),0.4024390243902439,0.5975609756097561,82,40,5,0,16.4,nan,nan,0
003,50,driver_function_oracle,query (ORACLE),0.4305555555555556,0.5972222222222222,72,50,5,0,14.4,nan,nan,0
003,60,driver_function_oracle,query (ORACLE),0.45161290322580644,0.5806451612903226,62,60,5,0,12.4,nan,nan,0
